Org_Name,Region_Code,Parent_Group,Audit_Sector,Compliance_Status
"Jiangsu Asian Sourcing Headwear MFG. CO., Ltd",China,ASIAN SOURCING HEADWEAR,FINISHED GOODS,Pass
Regent Garment Factory Limited - Business location- Regent 2,Vietnam,CRYSTAL,FINISHED GOODS,Pass
MAS KREEDA  Vaanavil ,Sri Lanka,MAS HOLDINGS,FINISHED GOODS,Pass
AHP APPARELS PVT.LTD. UNIT 61,India,SHAHI,FINISHED GOODS,Pass
PT Lucky Textile Semarang Demak,Indonesia,TUNTEX,FINISHED GOODS,Pass
HUBEI TOP EAGLE GARMENT LTD.,China,NICE APPAREL,FINISHED GOODS,Pass
Style Textile (Pvt) Limited (QIE),Pakistan,STYLE TEXTILE,FINISHED GOODS,Pass
SHINTA WOOSUNG PT (INDONESIA),Indonesia,SHINTA WOOSUNG,MATERIALS,Pass
LELABPLUS,France,LELAB,FINISHED GOODS,Pass
"DONGGUAN JINGSHENG GARMENTS CO.,LTD",China,CRYSTAL,FINISHED GOODS,Pass
SP Apparel Inc.,Canada,SP APPAREL,FINISHED GOODS,Pass
You Young,South Korea,YOU YOUNG,FINISHED GOODS - COMPONENTS,Pass
"JOOWON VINA CO., LTD.",Vietnam,JOOWON TECH,MATERIALS,Pass
ADORA FOOTWEAR LIMITED,Vietnam,HUALI,FINISHED GOODS,Pass
League Optical(Zhongshan) Workshop Limited,China,ARTS OPTICAL,FINISHED GOODS,Pass
"Nanjing Guotai Shengyang Garment Co.,Ltd.",China,NANJING GUOTAI SHENGYANG,FINISHED GOODS,Pass
"Oregon Screen Impressions, Inc.",USA,OREGON SCREEN IMPRESSIONS,FINISHED GOODS,Pass
"SHENZHEN PENGYIFA INDUSTRIAL CO, LTD",China,SHENZHEN PENGYIFA,FINISHED GOODS,Pass
"ZheJiang Clis Fashion Co., Ltd.",China,ZHEJIANG XIANCHEN IMPORT AND EXPORT,FINISHED GOODS,Pass
TNG Investment and Trading JSC - Dai Tu Garment Branch,Vietnam,TNG,FINISHED GOODS,Pass
HUAFENG HAPTIC,China,HUA FENG TEXTILE,FINISHED GOODS - COMPONENTS,Pass
SPRINGFEEL POLYURETHANE FOAMS PVT LTD,India,SPRINGFEEL POLYURETHANE,MATERIALS,Pass
"Zao Zhuang RuiXing Shoes Co., Ltd",China,CHANGSHIN,FINISHED GOODS,Pass
ORTHOLITE VIETNAM CO LTD (VIETNAM),Vietnam,ORTHOLITE,MATERIALS,Pass
TRIMCO GROUP (ZHEJIANG) CO LTD,China,TRIMCO GROUP,FINISHED GOODS - COMPONENTS,Pass
"HI-TECH APPAREL CO.,LTD. (SUPANBURI BRANCH)",Thailand,HI TECH,FINISHED GOODS,Pass
"YongZhou Kaixiang Shoetown Footwear Co., Ltd. NOT A FINISHED GOODS FACILITY",China,SHOETOWN,FINISHED GOODS - COMPONENTS,Pass
Sarasavi Exports (Pvt) Ltd,Sri Lanka,SARASAVI,FINISHED GOODS,Pass
Blue Ridge Designs LLC,USA,BLUE RIDGE DESIGNS,FINISHED GOODS,Pass
"Brandix Apparel Solutions (Pvt) Limited – Essentials, Batticaloa",Sri Lanka,BRANDIX ASIA HOLDINGS,FINISHED GOODS,Pass
FOOTMARK CAMBODIA CORPORATION,Cambodia,FOOTMARK,FINISHED GOODS,Pass
WEILINA VIET NAM FOOTWEAR COMPANY LIMITED,Vietnam,HUALI,FINISHED GOODS,Pass
SEYANG CORPORATION VIETNAM,Vietnam,SEYANG,FINISHED GOODS,Pass
"SeoHeung Co., Ltd. (3D Printer Center)",South Korea,SEOHEUNG,MATERIALS,Pass
Fanatics Licensed Sports Group,USA,FANATICS,FINISHED GOODS,Pass
"All Wells International Co., Ltd.",Vietnam,SPORTS GEAR,FINISHED GOODS,Pass
Germton Industrial Company Ltd.,Vietnam,GERMTON,FINISHED GOODS,Pass
Fashion Garments Company Limited,Vietnam,FASHION GARMENTS,FINISHED GOODS,Pass
"HI TECH APPAREL CO LTD, BRANCH 70",Thailand,HI TECH,FINISHED GOODS,Pass
Tiong Liong Vietnam (VIETNAM ZHONGJU INDUSTRIAL COMPANY LIMITED),Vietnam,TIONG LIONG GROUP,MATERIALS,Pass
CHI YANG RIBBON,Taiwan,CHI YANG RIBBON,FINISHED GOODS - COMPONENTS,Pass
HUNG LONG GARMENT AND SERVICE JOINT STOCK COMPANY,Vietnam,HUNG LONG GARMENT,FINISHED GOODS,Pass
"Nantong Nafung Gym Equipment Co.,Ltd",China,NANTONG NAFUNG,FINISHED GOODS,Pass
Viet Duc Garment Branch - TNG Investment and Trading JSC,Vietnam,TNG,FINISHED GOODS,Pass
MAXIM LABEL & PACKAGING (INDIA) PVT LTD,India,MAXIM,MATERIALS,Pass
Trischel Fabric (PVT) Ltd,Sri Lanka,MAS HOLDINGS,MATERIALS,Pass
STRETCHLINE,Sri Lanka,STRETCHLINE,MATERIALS,Pass
"Yegin Industry (Vietnam) Co., Ltd",Vietnam,YEGIN,FINISHED GOODS,Pass
"ECLAT TEXTILE CO., LTD. - DA YUAN FACTORY",Taiwan,ECLAT,FINISHED GOODS - COMPONENTS,Pass
"Brandix Apparel India Pvt Ltd, Unit-2",India,BRANDIX ASIA HOLDINGS,FINISHED GOODS,Pass
Tai Wah Garments Industry Sdn Bhd Kulai Jaya,Malaysia,RAMATEX,FINISHED GOODS,Pass
Vietnam Pou Sung Co. Ltd.,Vietnam,POU CHEN,FINISHED GOODS,Pass
DASS ELDORADO SRL,Argentina,DASS,FINISHED GOODS,Pass
PT KMK Global Sports / K1,Indonesia,KMK,FINISHED GOODS,Pass
"JOV GARMENT ACCESSORIAL MATERIAL CO., LTD",China,JOV GARMENT ACCESSORIAL MATERIAL,MATERIALS,Pass
"Kunshan Sabrina Clothes-Making  Co., Ltd.",China,SABRINA,FINISHED GOODS,Pass
Celeritas Manufacturing S.A. de C.V.,El Salvador,CELERITAS MANUFACTURING S.A. DE C.V.,FINISHED GOODS,Pass
HONSIN APPAREL SDN. BHD.,Malaysia,HONSIN,FINISHED GOODS,Pass
MAS KREEDA Balangoda ,Sri Lanka,MAS HOLDINGS,FINISHED GOODS,Pass
Dewhirst Cambodia,Cambodia,CASTLECRAFTS,FINISHED GOODS,Pass
Jade Textile Cairo,Egypt,YESIM,FINISHED GOODS,Pass
"Zhuji Hengtai Knitting & Textile Co., Ltd.",China,DELTA,FINISHED GOODS,Pass
EAGLE NICE JINGMEN GARMENTS CO LTD,China,EAGLE NICE,FINISHED GOODS,Pass
PT SELALU CINTA INDONESIA,Indonesia,KMK,FINISHED GOODS,Pass
W.S. Calcados Ltda.,Brazil,W.S CALCADOS,FINISHED GOODS,Pass
"Summitex Enterprise Co., Ltd",Taiwan,YAW LIAMY,MATERIALS,Pass
"E-Top (Vietnam) Co.,Ltd",Vietnam,ECLAT,FINISHED GOODS,Pass
Delta Alfa Corap Ve Tekstil Sanayi Tic Ltd Sti,Turkey,DELTA EQ GROUP,FINISHED GOODS,Pass
Zhuji Hengan Socks Co Ltd,China,HENGTAI,FINISHED GOODS,Pass
"FREETREND INDUSTRIAL (VIETNAM) CO., LTD",Vietnam,DEAN SHOES,FINISHED GOODS,Pass
Hi-Tech Apparel Co. Ltd.,Thailand,HI TECH,FINISHED GOODS,Pass
SHAHI EXPORTS PVT LTD,India,SHAHI,MATERIALS,Pass
"B & D Lingerie Viet Nam Co., Ltd",Vietnam,DELTA,FINISHED GOODS,Pass
"Qingdao Licheng Health Technology Co., Ltd.",China,QINGDAO LICHENG,FINISHED GOODS,Pass
NINGBO SHENZHOU KNITTING CO. LTD. (PRINTING MILL & MC),China,SHENZHOU,FINISHED GOODS,Pass
ISA INDUSTRIAL CO LTD (HESHAN) (CHINA),China,ISA,MATERIALS,Pass
"Robinson Manufacturing Company, Dayton",USA,ROBINSON,FINISHED GOODS,Pass
"DONGJIN TEXTILE VINA Co., Ltd ",Vietnam,DONGJIN,MATERIALS,Pass
Dah Jeng Embroidery,Taiwan,EMBLEM SOURCE,FINISHED GOODS,Pass
PAIHO (VIETNAM),Vietnam,PAIHO GROUP,MATERIALS,Pass
Tower Garments (London) Ltd,United Kingdom,TOWER GARMENTS,FINISHED GOODS,Pass
RIETVELD SERIGRAFIE BV,Netherlands,RIETVELD,FINISHED GOODS,Pass
PRIME ASIA (CHINA),China,PRIME ASIA,MATERIALS,Pass
ChangShin Inc.,South Korea,CHANGSHIN,FINISHED GOODS,Pass
"Yantai NE Apparel CO.,LTD",China,NICE APPAREL,FINISHED GOODS,Pass
Beijing Our Clothing and Apparel Ltd,China,BEIJING CLOTHING,FINISHED GOODS,Pass
BAIKSAN (VIETNAM),Vietnam,BAIKSAN,MATERIALS,Pass
Jay Jay Mills Lanka (Pvt) Ltd - Expansion Unit T01,Sri Lanka,JAY JAY MILLS,FINISHED GOODS,Pass
Evergreen Apparel Mfg.,USA,YY & ASSOCIATES,FINISHED GOODS,Pass
"FORMOSA TAFFETA DONG NAI CO., LTD.",Vietnam,FORMOSA TAFFETA,MATERIALS,Pass
SFO Apparel Inc. (Sewing & Cutting),USA,SFO APPAREL,FINISHED GOODS,Pass
YKK Taiwan Chung Li 2nd Factory,Taiwan,YKK,MATERIALS,Pass
"Longhui Stella Footwear Co., Ltd",China,STELLA,FINISHED GOODS - COMPONENTS,Pass
WILL DER,Argentina,DER WILL,FINISHED GOODS,Pass
Huaian Yuantong Headwear Mfg Co Ltd,China,ASIAN SOURCING HEADWEAR,FINISHED GOODS,Pass
BODYLINE PVT LIMITED,Sri Lanka,MAS HOLDINGS,FINISHED GOODS,Pass
BUSINESS LOCATION IN VUNG LIEM - TY XUAN COMPANY LIMITED,Vietnam,LAI YIH,FINISHED GOODS,Pass
Milteks Tekstil Sanayi ve Ticaret A S,Turkey,MILTEKS,FINISHED GOODS,Pass
SUPER KNITTING CAMBODIA,Cambodia,SUPER KNITTING,FINISHED GOODS,Pass
FITA TEKSTIL KONF.LTD.STI,Turkey,YESIM,FINISHED GOODS,Pass
PT. CHING LUH INDONESIA,Indonesia,CHING LUH,FINISHED GOODS,Pass
"DONG SHIN VINA CO.,LTD",Vietnam,DONG SHIN GLOBAL MARKETING TECHNOLOGY,FINISHED GOODS,Pass
"G&G Outfitters, Inc.",USA,G AND G OUTFITTERS,FINISHED GOODS,Pass
