Org_Name,Region_Code,Parent_Group,Audit_Sector,Compliance_Status
COOPERSHOES - COOPERATIVA DE CALCADOS E COMPONENTES JOANETENSE LTDA - Las Flores,Argentina,COOPERSHOES,FINISHED GOODS,Pass
PT. CHANGSHIN  REKSA JAYA,Indonesia,CHANGSHIN,FINISHED GOODS,Pass
Sun Yuan Optical (Vietnam) Co. Ltd.,Vietnam,SUN YUAN OPTICAL (VIETNAM) CO LTD,FINISHED GOODS,Pass
Viet Long Giang Garment Joint Stock Company ,Vietnam,SOUTH ISLAND,FINISHED GOODS,Pass
"Shishi Maihong Clothing Co., LTD",China,SHISHI HONGTING,FINISHED GOODS,Pass
"Wilson Leather Cambodia Co., LTD.",Cambodia,GUANG DER,FINISHED GOODS,Pass
TOPSHOES IND CALCADOS SA,Brazil,COOPERSHOES,FINISHED GOODS,Pass
"Hao’s Fitness Equipment (Shanghai) Co., Ltd. TRADING LTD",China,JOSH SHANGHAI INDUSTRIAL,FINISHED GOODS,Pass
SHAOYANG STELLA FOOTWEAR COMPANY LIMITED,China,STELLA,FINISHED GOODS,Pass
Ningbo Eastex,China,NINGBO EASTEX,FINISHED GOODS,Pass
"Lijing Regina Miracle Intimate Apparel (Zhaoqing) Co., Ltd",China,REGINA MIRACLE,FINISHED GOODS,Pass
"Chang Wong Industrial Co., Ltd.",Taiwan,CHANG WONG INDUSTRIAL,FINISHED GOODS,Pass
"The Haddad Apparel Wuxi, Co., LTD",China,HADDAD,FINISHED GOODS,Pass
Pou Chen Vietnam Enterprise Ltd.,Vietnam,POU CHEN,FINISHED GOODS,Pass
"A & K Designs, Inc.",USA,A & K DESIGNS,FINISHED GOODS,Pass
Sewing Jonah,Japan,SEWING JONAH,FINISHED GOODS,Pass
PT Sport Glove Indonesia ,Indonesia,PT SPORT,FINISHED GOODS,Pass
"DIN SEN VIETNAM (LONG AN) ENTERPRISE CO., LTD",Vietnam,EAGLE NICE,FINISHED GOODS,Pass
PRIME ASIA (VIETNAM),Vietnam,PRIME ASIA,MATERIALS,Pass
"DONA VICTOR FOOTWEAR CO., LTD",Vietnam,FENG TAY,FINISHED GOODS,Pass
TKG TAEKWANG MOC BAI JOINT STOCK COMPANY,Vietnam,TAEKWANG,FINISHED GOODS,Pass
"Papillion Textile (Cambodia) Co., Ltd",Cambodia,TUNTEX,FINISHED GOODS,Pass
"Fujian Zhuojian Garment Technology Co., Ltd",China,FUJIAN ZHUOJIAN,FINISHED GOODS,Pass
"Hip Keung (Cambodia) Manufacturing Co., Ltd.",Cambodia,HIP KEUNG,FINISHED GOODS,Pass
East Wind Footwear Company Limited (India Branch) - Unit I,India,FENG TAY,FINISHED GOODS,Pass
PT Nikomas Gemilang,Indonesia,POU CHEN,FINISHED GOODS,Pass
Supertex El Salvador S.A. de C.V.,El Salvador,SUPERTEX,FINISHED GOODS,Pass
"JINGNING XUANCHEN TECHNOLOGY CO., LTD.",China,JINGNING XUANCHEN TECHNOLOGY,FINISHED GOODS,Pass
"QINGDAO MAITE FITNESS EQUIPMENT CO.,LTD",China,QINGDAO MAITE,FINISHED GOODS,Pass
"Unipax Co., Ltd",Vietnam,HWASEUNG CROWN,FINISHED GOODS,Pass
DAE SUNG METAL CO LTD (CHINA),China,DAE SUNG METAL,MATERIALS,Pass
SAMBU FINE CHEMICAL CO LTD (KOREA),South Korea,SAMBU FINE CHEMICAL,MATERIALS,Pass
PT Victory Chingluh Indonesia,Indonesia,CHING LUH,FINISHED GOODS,Pass
"Dona Pacific (Vietnam) Co., Ltd.",Vietnam,FENG TAY,FINISHED GOODS,Pass
Ningbo Bell Garment Industrial Co. Ltd,China,NINGBO BELL,FINISHED GOODS,Pass
Viet Tien Garment Corporation,Vietnam,SOUTH ISLAND,FINISHED GOODS,Pass
EVEREST TEXTILES CHINA,China,EVEREST TEXTILE,MATERIALS,Pass
PT PRATAMA ABADI INDUSTRI,Indonesia,PRATAMA,FINISHED GOODS,Pass
COSMO-E-MART NON-WOVEN COMPANY LIMITED,Vietnam,COSMOPOLITAN TEXTILE,MATERIALS,Pass
"DONGGUAN RICHWAY HANDBAG CO., LTD.",China,DONGGUAN RICHWAY,FINISHED GOODS,Pass
DONGJIN TEXTILE VINA,Vietnam,DONGJIN,MATERIALS,Pass
"Nanjing 3H Medical Products Co., Ltd.",China,NANJING 3H MEDICAL,FINISHED GOODS,Pass
Almaxtex Tekstil Sanayi ve Ticaret A.S.,Turkey,YESIM,FINISHED GOODS,Pass
"Chun Yu Ribbon ENT Co., Ltd.",Taiwan,CHI YANG RIBBON,MATERIALS,Pass
Cygnus Investments S.A. de C.V.,El Salvador,CYGNUS,FINISHED GOODS,Pass
"Walt Technology Group Co., Ltd.",China,ZHEJIANG WALT,FINISHED GOODS,Pass
"Pinghu Lipai Bags and Luggage Co., Ltd.",China,PINGHU LIPAI,FINISHED GOODS,Pass
MAS Fabrics (Private) Limited - Matrix,Sri Lanka,MAS HOLDINGS,MATERIALS,Pass
AURORA VIETNAM INDUSTRIAL FOOTWEAR CO. LTD,Vietnam,HUALI,FINISHED GOODS,Pass
RAMATEX INDUSTRIAL SUZHOU LTD,China,RAMATEX,FINISHED GOODS,Pass
TKG ECO MATERIAL SYNTHETIC (TR1) (KOREA),South Korea,TKG ECO MATERIAL,FINISHED GOODS - COMPONENTS,Pass
"NINGBO SHENZHOU KNITTING CO., LTD",China,SHENZHOU,MATERIALS,Pass
DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS LTDA,Brazil,DASS,FINISHED GOODS,Pass
"Avery Dennison (Suzhou) Co.,Ltd ",China,AVERY DENNISON,MATERIALS,Pass
Far Eastern Apparel (Vietnam) Limited,Vietnam,FAR EASTERN,FINISHED GOODS,Pass
Sabrina Cambodia Garment Manufacturing,Cambodia,SABRINA,FINISHED GOODS,Pass
Asena 4,Moldova,YESIM,FINISHED GOODS,Pass
Interloop Limited Apparel Park,Pakistan,INTERLOOP,FINISHED GOODS,Pass
Guangzhou Yisetong Clothing Co.Ltd,China,GUANGZHOU YISETONG,FINISHED GOODS,Pass
Textil H.J.Hering Ltda,Brazil,TEXTIL H.J. HERING,FINISHED GOODS,Pass
EVEREST TEXTILES THAILAND-V,Thailand,EVEREST TEXTILE,MATERIALS,Pass
"WUXI BROTHERS PACKAGING CO., LTD ",China,"WUXI BROTHERS PACKAGING CO., LTD",FINISHED GOODS,Pass
Fairway Enterprises Company Ltd (India Branch) - Unit 1,India,FENG TAY,FINISHED GOODS,Pass
JUNMAY LABEL (TAIWAN),Taiwan,JUNMAY LABEL,MATERIALS,Pass
Vertical Knits S.A. de C.V. (MDC - Tizimin),Mexico,VERTICAL KNITS,FINISHED GOODS,Pass
Vertical Knits S.A. de C.V. (MDC - Campeche),Mexico,VERTICAL KNITS,FINISHED GOODS,Pass
YICHANE CO.LTD,Taiwan,YICHANE,FINISHED GOODS,Pass
KURARAY CO LTD (CLARINO) (TR1) (JAPAN),Japan,KURARAY,MATERIALS,Pass
VIET NAM ARGENT OPTICAL LIMITED COMPANY,Vietnam,VIET NAM ARGENT OPTICAL,FINISHED GOODS,Pass
Zentrix Huamantla,Mexico,ZENTRIX,FINISHED GOODS,Pass
PT DAH JU INDONESIA,Indonesia,DAH SHENG,MATERIALS,Pass
"TKG TAEKWANG INDUSTRY CO., LTD.",South Korea,TAEKWANG,FINISHED GOODS,Pass
Sun Luen International Corporation,Taiwan,TIONG LIONG GROUP,MATERIALS,Pass
Far Eastern New Apparel (Vietnam) Ltd (MDC),Vietnam,FAR EASTERN,FINISHED GOODS,Pass
"Thai Sock Co., Ltd.",Thailand,THAI SOCKS,FINISHED GOODS,Pass
Marbelys,Guatemala,MARBELYS,FINISHED GOODS,Pass
"Fanatics Licensed Sports Group, LLC. - Hoover",USA,FANATICS,FINISHED GOODS,Pass
PPSEC COMPANY LIMITED,Cambodia,SEC ACCESSORIES,FINISHED GOODS - COMPONENTS,Pass
PT. Dae Young Technology Indonesia,Indonesia,DAE YOUNG RUBBER,FINISHED GOODS - COMPONENTS,Pass
"FASHION GARMENTS MEKONG CO., LTD",Vietnam,FASHION GARMENTS,FINISHED GOODS,Pass
PROMAX TEXTILE (VIETNAM) CO. LTD,Vietnam,PROMAX TEXTILE,MATERIALS,Pass
Hi-Tech Savannakhet Apparel Sole Company Limited,Laos,HI TECH,FINISHED GOODS,Pass
"Hi-Tech Chaiyaphum Apparel (2020) Co.,Ltd.",Thailand,HI TECH,FINISHED GOODS,Pass
ECI ELASTIC CO LTD,Taiwan,ECI,FINISHED GOODS - COMPONENTS,Pass
YRC TEXTILE,Thailand,YRC TEXTILE,MATERIALS,Pass
"Viet Hong Garment Export Co., Ltd.",Vietnam,SOUTH ISLAND,FINISHED GOODS,Pass
SIMONA TANNING (ZHONGSHAN) CO. LIMITED,China,SIMONA TANNING,MATERIALS,Pass
VIETNAM JINTAI TEXTILE TECHNOLOGY COMPANY LIMITED,Vietnam,JOV GARMENT ACCESSORIAL MATERIAL,MATERIALS,Pass
Longway Vietnam Company Limited,Vietnam,LONGWAY,FINISHED GOODS,Pass
SADESA THAILAND (KABINBURI),Thailand,SADESA,MATERIALS,Pass
"MARVEL GARMENT CO.,LTD.",Cambodia,SHENZHOU,FINISHED GOODS,Pass
"Asia Caps (Thailand) Co., Ltd.",Thailand,ASIA CAPS,FINISHED GOODS,Pass
SAN FANG (TR1) (INDONESIA),Indonesia,SAN FANG,MATERIALS,Pass
Ramatex Textiles Industrial Sdn Bhd,Malaysia,RAMATEX,MATERIALS,Pass
VIMAL CLOTHING ENTERPRISE CC,South Africa,VIMAL CLOTHING,FINISHED GOODS,Pass
framas Korea,South Korea,FRAMAS,FINISHED GOODS - COMPONENTS,Pass
TKG TAEKWANG CAN THO COMPANY LIMITED,Vietnam,TAEKWANG,FINISHED GOODS,Pass
GILDAN HOSIERY RIO NANCE S de R.L.,Honduras,GILDAN,FINISHED GOODS,Pass
Ha Thanh Garment Joint Stock Company,Vietnam,THUAN PHUONG,FINISHED GOODS,Pass
COOPERSHOES - COOPERATIVA DE TRABALHO E INDUSTRIA DE CALÇADOS JOANETENSE LTDA (Picada Café),Brazil,COOPERSHOES,FINISHED GOODS,Pass
DONGJIN (Indonesia),Indonesia,DONGJIN,MATERIALS,Pass
"QUANG VIET ENTERPRISE CO., LTD",Vietnam,QUANG VIET,FINISHED GOODS,Pass
PROMAX TEXTILE (VIETNAM) CO. LTD.  (FTY 2),Vietnam,PROMAX TEXTILE,MATERIALS,Pass
Lotus Footwear Enterprises Limited Unit-2,India,FENG TAY,FINISHED GOODS,Pass
Diamant srl #2,Italy,DIAMANT,FINISHED GOODS,Pass
PAIHO (DONGGUAN 3),China,PAIHO GROUP,MATERIALS,Pass
Ripon Athletic,USA,RIPON,FINISHED GOODS,Pass
ShaoYang LianTai SQ HanShou Upper Facility,China,STELLA,FINISHED GOODS - COMPONENTS,Pass
"Jerash Garments and Fashions Manufacturing Co.Ltd, Al - Hasa Unit ",Jordan,"JERASH GARMENTS & FASHIONS, AL-HASA UNIT APPAREL",FINISHED GOODS,Pass
FAR EASTERN POLYTEX (VIETNAM) LTD,Vietnam,FAR EASTERN,MATERIALS,Pass
PT Mitra Garindo Perkasa,Indonesia,MAP,FINISHED GOODS,Pass
DOG STYLE SA DE CV,Mexico,DOG STYLE SA,FINISHED GOODS,Pass
NICE APPAREL COMPANY LIMITED,Thailand,NICE APPAREL,FINISHED GOODS,Pass
"Hi-Tech Chai1 Co.,Ltd. ",Thailand,HI TECH,FINISHED GOODS,Pass
"Ting Heng Co., Ltd",Vietnam,TING HENG,MATERIALS,Pass
"LI CHENG ENTERPRISE CO.,LTD",Taiwan,LI CHENG ENTERPRISE,FINISHED GOODS - COMPONENTS,Pass
"HI-TECH SURIN APPAREL (2020) CO., LTD (00001)",Thailand,HI TECH,FINISHED GOODS,Pass
Quanzhou Unison Light Industrial Manufacturing Co. Ltd.,China,QUANZHOU UNISON LIGHT INDUSTRIAL,FINISHED GOODS,Pass
"EISHIN CO., LTD.",Japan,CROSTER,FINISHED GOODS,Pass
PETTENATI,Brazil,PETTENATI,FINISHED GOODS,Pass
ANIGER CALCADOS SUPRIMENTOS E EMPREENDIMENTOS LTDA,Brazil,ANIGER,FINISHED GOODS,Pass
EverTech Plastic Vietnam Company LTD Branch,Vietnam,EVER TECH,FINISHED GOODS - COMPONENTS,Pass
Ad Dulyal,Jordan,MAS HOLDINGS,FINISHED GOODS,Pass
"Lok Wah (Vietnam) Manufacturing Co., Ltd",Vietnam,LOK WAH,FINISHED GOODS,Pass
DUCKSAN ,South Korea,DUCKSAN,FINISHED GOODS - COMPONENTS,Pass
"SUNNY JET HOSIERY CO., LIMITED",China,SUNNY JET,FINISHED GOODS,Pass
Dongguan leefong label manufacture co ltd.,China,LEE BOU LABEL ENTERPRISE,FINISHED GOODS,Pass
Styldea SRL,Italy,STYLDEA,FINISHED GOODS,Pass
"AHP APPAREL PVT LTD., UNIT 60",India,SHAHI,FINISHED GOODS,Pass
"framas Korea Vina Co., Ltd",Vietnam,FRAMAS,FINISHED GOODS - COMPONENTS,Pass
TONG HONG TANNERY CO LTD (VIETNAM),Vietnam,TONG HONG,MATERIALS,Pass
GOLD LONG JOHN (VIETNAM),Vietnam,GOLD LONG JOHN,FINISHED GOODS - COMPONENTS,Pass
"Shenzhen Allwell Sports Products Manufacturing Co.,Ltd",China,SHENZHEN ALLWELL,FINISHED GOODS,Pass
VIRTUE KING VIETNAM COMPANY LIMITED,Vietnam,GUANG DER,FINISHED GOODS,Pass
DASS NORDESTE CALCADOS E ARTIGOS ESPORTIVOS LTDA.,Brazil,CLASSICO,FINISHED GOODS,Pass
"FORMOSA TAFFETA (CHANGSHU) CO., LTD",China,FORMOSA TAFFETA,MATERIALS,Pass
Nice Apparel Company Limited Branch Chumphae,Thailand,NICE APPAREL,FINISHED GOODS,Pass
"Vietnam ECI Elastic Co., Ltd",Vietnam,ECI,MATERIALS,Pass
Shoetown JinTan,China,SHOETOWN,FINISHED GOODS,Pass
"DAEWON CHEMICAL VINA CO., LTD.",Vietnam,DAEWON,MATERIALS,Pass
YKK Taiwan Chung Li 3rd Factory,Taiwan,YKK,MATERIALS,Pass
"QINGDAO HONGTAISHENGDA TRADE CO., LTD.",China,"QINGDAO HONGTAISHENGDA TRADE CO., LTD.",FINISHED GOODS - COMPONENTS,Pass
PT Trigoldenstar Wisesa,Indonesia,TRIGOLDENSTAR,FINISHED GOODS,Pass
"Vietnam Dona Standard Footwear Co., Ltd",Vietnam,FENG TAY,FINISHED GOODS,Pass
