Factory_Name,Category,Product_Type,Brand,Empty,Parent_Group,Address,City,State,Zip,Country,Region,Workers,Female_Workers,Line_Workers,Migrant_Workers
HESHAN TOP EAGLE GARMENT LTD.,FINISHED GOODS,Apparel,Nike,,NICE APPAREL,NO 001 DISTRICT 3 OF HECHENG INDUSTRIAL PARK,Heshan,Guangdong,529727,China,N ASIA,493,293,93,0
"Pilotknit Sport Wear Co.,ltd.",FINISHED GOODS,Apparel,Nike,,PILOT,89 13 Moo 2 Rama ll Road T Kokkrabur,Muang,Samut Sakhon,74000,Thailand,SE ASIA,735,639,76,82
PT Morich Indo Fashion,FINISHED GOODS,Apparel,Nike,,MORICH,JL RAYA KARANGJATI KM 25 GEMBONGAN KARANGJATI BERGAS,UNGARAN,Jawa Tengah,50552,Indonesia,S ASIA,2791,2656,80,0
Vertical Knits S.A. de C.V.,FINISHED GOODS,Apparel,Nike,Collegiate,VERTICAL KNITS,CALLE 20 131 C X 27 Y 29,Baca,Yucatán,97450,Mexico,AMERICAS,1947,1052,58,0
"Textiles La Paz, L.L.C.",FINISHED GOODS,Apparel,Nike,,FUN TEES,Zona Franca El Pedregal,El Rosario La Paz,La Paz,28026,El Salvador,AMERICAS,2153,1638,67,0
SUNNY JET HOSIERY (CAMBODIA) CO.LTD,FINISHED GOODS,Apparel,Nike,,SUNNY JET,National Road 02,Phnom Penh,Taakaev,210810,Cambodia,SE ASIA,428,409,55,1
"Song Hong Garment JSC - Song Hong 7 Branch: Factory 11,12,13,14",FINISHED GOODS,Apparel,Nike,,SONG HONG,Industrial Cluster Yen Dinh Town Hai Hau District,Nam Dinh,Nam Ðnh,428200,Vietnam,SE ASIA,1913,1678,77,0
"Paramount Apparel International, LLC.",FINISHED GOODS,Apparel,Nike,Collegiate,PARAMOUNT,1916 Imperial Way,Bourbon,Missouri,65441,USA,AMERICAS,290,90,42,0
Ramatex Apparel Suzhou Ltd.,FINISHED GOODS,Apparel,Nike,,RAMATEX,"115 Ting Nan Lu, Wei Ting Town, Suzhou Industrial Park",Suzhou,Jiangsu,215121,China,N ASIA,349,303,92,0
Vo Nhai Garment Branch – TNG Investment and Trading JSC,FINISHED GOODS,Apparel,Nike,,VO NHAI 1 GARMENT BRANCH,Cay Bong Industrial Park La Hien Commune Vo Nhai District,Thai Nguyen,Thái Nguyên,24000,Vietnam,SE ASIA,1871,1678,79,0
DASS Nordeste Calcados e Artigos Esportivos LTDA.,FINISHED GOODS,Footwear,Nike,,DASS,RUA PROFESSORA MARIA LIA CELIA VELLAME,SANTO ESTEVAO,Bahia,44190-000,Brazil,AMERICAS,6012,4452,61,0
"Pacific Athletic Wear, Inc. ",FINISHED GOODS,Apparel,Nike,,PACIFIC ATHLETIC WEAR,7340 Lampson Avenue,Garden Grove,California,92841,USA,AMERICAS,101,86,58,0
"Dong Guan Goldenprene Sporting Goods Co., Ltd.",FINISHED GOODS,Equipment,Nike,Collegiate,GUANG DER,Number 17 West Jinfu Road,"Liaobu Town, Dong Guan",Guangdong,523406,China,N ASIA,731,581,58,0
"JIANGSU JINHUBAO GARMENT CO., LTD",FINISHED GOODS,Apparel,Nike,,DECOR,LIDIAN TOWN GUANGLING DISTRICT,YANGZHOU,Jiangsu,225106,China,N ASIA,141,122,89,0
PT PRATAMA ABADI INDUSTRI,FINISHED GOODS,Footwear,Nike,,PRATAMA,Jalan Raya Bandung Tasikmalaya KM 43 Desa Cijolang,Garut,Jawa Barat,44186,Indonesia,S ASIA,8591,7791,97,0
"BRANCH 1 OF GREENTECH HEADGEAR CO., LTD IN DONG NAI",FINISHED GOODS,Apparel,Nike,Collegiate,ASIAN SOURCING HEADWEAR,ROAD No 3 NHON TRACH 2 IZ NHON PHU,NHON TRACH,Ðng Nai,810000,Vietnam,SE ASIA,1680,1400,80,0
VINH TIEN GARMENT JOINT STOCK COMPANY,FINISHED GOODS,Apparel,Nike,,SOUTH ISLAND,1A Hung Dao Vuong,Vinh Long,Vinh Long,850000,Vietnam,SE ASIA,1437,1215,73,0
PT Jinlin Luggage Indonesia,FINISHED GOODS,Equipment,Nike,,FORMOSA,JI Raya Jepara Kudus KM 28 Sengonbugel Mayong Kab,JEPARA,Jawa Tengah,59465,Indonesia,S ASIA,1350,1181,31,2
"CHANG SHIN VIETNAM COMPANY, LTD.",FINISHED GOODS,Footwear,Nike,,CHANGSHIN,Thanh Phu Vinh Cuu Dong Nai,Dong Nai,Ðng Nai,76000,Vietnam,SE ASIA,34190,30898,75,0
COCALQUI COOPERATIVA DE TRABALHO DA INDUSTRIA DE CALCADOS DE QUIXERAMOBIM LTDA.,FINISHED GOODS,Footwear,Nike,,ANIGER,AV JOSE G PINHEIRO 155 EDMILSON CORREIA,QUIXERAMOBIM,Ceará,63800-000,Brazil,AMERICAS,5554,5084,54,0
POVOLO SRL,FINISHED GOODS,Apparel,Nike,,POVOLO,VIA GRAN BRETAGNA 1,Gallarate,Varese,21013,Italy,EMEA,24,16,94,31
PT Victory Chingluh Indonesia,FINISHED GOODS,Footwear,Nike,,CHING LUH,JL Raya Pasarkemis Rajeg,Tangerang,Banten,15560,Indonesia,S ASIA,4175,3645,56,0
"Olive Apparel (Cambodia) Co., Ltd.",FINISHED GOODS,Apparel,Nike,,RAMATEX,National Road No 3 Phum Prey Kambot,Phnom Penh,Phnom Penh,120910,Cambodia,SE ASIA,1473,1304,84,0
PT. Kanindo Makmur Jaya,FINISHED GOODS,Equipment,Nike,Collegiate,KANAAN,Jalan Raya Jepara Kudus,Jepara,Jawa Tengah,59462,Indonesia,S ASIA,6030,5929,64,0
South Island Garment Sdn Bhd,FINISHED GOODS,Apparel,Nike,Collegiate,SOUTH ISLAND,2468 Solok Perusahaan Dua,Perai,Pulau Pinang,13600,Malaysia,S ASIA,601,325,46,83
JERASH GARMENTS AND FASHION MANUFACTURING CO LTD - UNIT 4,FINISHED GOODS,Apparel,Converse,,"JERASH GARMENTS & FASHIONS, UNIT 4",Building E,Sahab,Amman,11636,Jordan,EMEA,1331,1195,90,68
Big Game Sports,FINISHED GOODS,Equipment,Nike,Collegiate,BIG GAME SPORTS,13835 Welch Rd,Dallas,Texas,75244,USA,AMERICAS,69,50,40,0
PT Semarang Garment,FINISHED GOODS,Apparel,Nike,Collegiate,ONTIDE,JL Soekarno Hatta Km 25,Semarang,Jawa Tengah,50552,Indonesia,S ASIA,3851,3462,96,0
Charmgo (Cambodia) Co. Ltd,FINISHED GOODS,Apparel,Nike,,CHARMGO,Pham Bostanei Kuhn Kaheing Srok Samrongtong Kampong Spey,Kampong Spey,Kampong Spueu,05207,Cambodia,SE ASIA,1557,1526,75,1
Song Hong - Nghia Hung Garment Joint Stock Company,FINISHED GOODS,Apparel,Nike,,SONG HONG NGHIA HUNG COMPANY,Team 12 Nghia Phong Town Nghia Hung District,Nam Dinh,Nam Ðnh,426710,Vietnam,SE ASIA,1802,1678,77,0
MAXPORT LIMITED VIET NAM NAM DINH BRANCH MAXPORT 05,FINISHED GOODS,Apparel,Nike,Collegiate,MAXPORT,Lot No85 Map No44,Nam Dinh,Nam Ðnh,42000,Vietnam,SE ASIA,1370,1123,84,0
"Fu-Luh Shoes Co., LTD",FINISHED GOODS,Footwear,Nike,,CHING LUH,Tri Yen Hamlet Tan Kim Commune Can Giuoc County,Long An,Long An,82500,Vietnam,SE ASIA,10728,9539,74,0
"CHANG SHIN VIETNAM CO., LTD",FINISHED GOODS,Footwear,Nike,,CHANGSHIN,Lot C Loc An Binh Son Industrial Zone,Long Thanh District,Ðng Nai,00061,Vietnam,SE ASIA,5828,5291,90,0
BRANCH OF MDK EMBROIDERIES GARMENTS COMPANY LIMITED - BINH CHANH 2 FACTORY,FINISHED GOODS,Apparel,Nike,,"THUAN PHUONG EMBROIDERIES GARMENTS CO., LTD - BINH CHANH FACTORY 2",Provincial Road 835A  Loc Tien Hamlet  My Loc Commune,Tay Ninh,Tây Ninh,82509,Vietnam,SE ASIA,785,748,66,0
"Future Garment Co., Ltd.",FINISHED GOODS,Apparel,Nike,,HI TECH,"211/18-26 Nonsee Road , Chongnonsee  Yannawa ",Bangkok,Bangkok,10120,Thailand,SE ASIA,430,360,64,92
ELITE SPORTSWEAR L.P.,FINISHED GOODS,Apparel,Nike,,ELITE SPORTSWEAR,2136 NORTH 13TH STREET,READING,Pennsylvania,19604,USA,AMERICAS,416,188,81,0
Qingyuan City Liannan Yao Nationality Autonomous County Rongfang Footwear,FINISHED GOODS,Footwear,Nike,Collegiate,SHOETOWN,"50 Yan Jiang East Road,San Jiang Town Lian Nan County",QING YUAN,Guangdong,513300,China,N ASIA,705,652,97,0
"Dongguan Dingjia Sporting Goods Co.,Ltd.",FINISHED GOODS,Equipment,Nike,,DONGGUAN DINGJIA,No 24 Huanshi South Road Tangxia Town Dongguan,Dongguan,Guangdong,523726,China,N ASIA,20,16,69,0
