Vendor,Category,Product_Type,Brand,Empty,Parent_Group,Address,Site_Location,State,Zip,Country,Region,Headcount,Female_Workers,Line_Workers,Migrant_Workers
KUO YUEN (TR1) (CHINA),MATERIALS,Footwear,Nike,,KUO YUEN,NO 2 Jing Cheng 2 Road Huang Jiang Dong Guan China,Dongguan,Guangdong,523750,China,N ASIA,181,95,29,0
ISA INDUSTRIAL CO LTD (VIETNAM),MATERIALS,Footwear,Nike,,ISA,Lot M2 M3 Street No 5 Viet Huong 2 IP Tay Nam Ward,Ho Chi MInh City,Ho Chi Minh,70000,Vietnam,SE ASIA,684,555,10,0
MILTEKS TEKSTIL SAN VE TIC AS,MATERIALS,Apparel,Nike,,MILTEKS,Havalimani Yolu 1 Km Erkenez Mahallesi 23018,Kahramanmaras,Kahramanmaras,46080,Turkey,EMEA,511,414,23,0
GB LIGHT CO LTD (VIETNAM),MATERIALS,Footwear,Nike,,GB LIGHT,LOT B2 7,Ho Chi Minh,Ho Chi Minh,75000,Vietnam,SE ASIA,44,20,0,0
DUCKSAN CO LTD (KOREA),MATERIALS,Footwear,Nike,,DUCKSAN,76 Opoanro,Gyeonggi Do,Gyeonggido,12774,South Korea,N ASIA,11,10,0,20
JOONGANG TEXTILE CO LTD (WARP/WEFT KNIT),MATERIALS,Footwear,Nike,,JOONGANG TEXTILE,15 Dadae ro 320beon gil,Busan,Busan Gwangyeogsi,49469,South Korea,N ASIA,58,16,31,25
KUO YUEN (VIETNAM),MATERIALS,Footwear,Nike,,KUO YUEN,NHON TRACH 3 INDUSTRIAL ZONE NHON TRACH DISTRICT,Dong Nai,Ðng Nai,810000,Vietnam,SE ASIA,240,184,65,6
FORMOSA TAFFETA VIETNAM CO LTD,MATERIALS,Apparel,Nike,,FORMOSA TAFFETA,Section 1 Nhut Chanh Com Ben Luc District,Ben Luc District,Tây Ninh,81000,Vietnam,SE ASIA,1061,920,60,3
"SAB Industrial (Vietnam) Co.,Ltd.",MATERIALS,Apparel,Nike,,WEIXING INDUSTRIAL DEVELOPMENT CO LTD,Southern Area A Bim Son Industrial Park,Bac Son Ward Bim Son,Thanh Hóa,40700,Vietnam,SE ASIA,350,300,61,0
SHANGHAI YKK ZIPPER CO LTD (NANHUI),MATERIALS,Apparel,Nike,,YKK,1258 FeiDu Road Pudong District,Shanghai,Shanghai,201306,China,N ASIA,575,434,66,0
MAXIM SMART MANUFACTURING CO LTD,MATERIALS,Apparel,Nike,,MAXIM,No 398 Jinxiu Rd Yaozhuang Town Jiashan,Jiaxing,Zhejiang,314117,China,N ASIA,705,309,49,0
"Maxim Label and Packaging Vietnam Co., Ltd",MATERIALS,Apparel,Nike,,MAXIM,No 33  6th Street,Thuan An,Bình Duong,75209,Vietnam,SE ASIA,726,441,45,0
XIANG ZHOU LEATHER CO LTD (CHINA),MATERIALS,Footwear,Nike,,XIANG ZHOU LEATHER,Chihu Industry Area Zhangzhou Fujian China,"Zhangzhou, Fujian",Fujian,363209,China,N ASIA,410,350,51,0
Ramatex Industrial (Nam Dinh) Company Limited,MATERIALS,Apparel,Nike,,RAMATEX,Lot CN2,Nam Dinh,Nam Ðnh,07000,Vietnam,SE ASIA,394,358,28,0
DAEHWA INDONESIA PT (TR1) (INDONESIA),MATERIALS,Footwear,Nike,,DAEHWA,Bekasi Intl Industrial Estate Block,BEKASI,Jawa Barat,17550,Indonesia,S ASIA,281,222,3,0
"Huajin Textile Printing &Dyeing Co.,LTD",MATERIALS,Footwear,Converse,,HUAJIN,No 1688 Huajin Street,Linyi County,Shanxi,044100,China,N ASIA,667,491,36,15
TRIMCO GROUP (HONG KONG) CO LTD,MATERIALS,Apparel,Nike,,TRIMCO GROUP,Flat G 8 Floor City Industrial Complex,Kwai Chung,Guangdong,999077,China,N ASIA,186,34,53,0
PT DAEWON ECO INDONESIA,MATERIALS,Footwear,Nike,,DAEWON,Jl Pinang Blok F23 No 11E and 11F Delta Silicon 3,Bekasi,Jawa Barat,17530,Indonesia,S ASIA,37,20,35,25
Gain Lucky (Vietnam) Limited,MATERIALS,Apparel,Nike,Collegiate,SHENZHOU,NO 40 6 N14 Street,Phuoc Dong Ward,Tây Ninh,80700,Vietnam,SE ASIA,10150,9800,46,0
PONY LEATHER CORPORATION (TAIWAN),MATERIALS,Footwear,Nike,,PONY LEATHER CORPORATION,1F No 191 Sec 3 Zhongshan Rd Wubian Vil,Changhua,Changhua,512,Taiwan,N ASIA,173,90,42,0
Stretchline (Zhongshan) Limited,MATERIALS,Apparel,Nike,,STRETCHLINE,Industrial area,Zhongshan,Guangdong,528459,China,N ASIA,518,471,27,0
YKK (THAILAND) CO LTD,MATERIALS,Apparel,Nike,,YKK,689 Sukhumvit Rd KM 35,Samutprakarn,Samut Prakan,10280,Thailand,SE ASIA,443,236,59,4
PRIME ASIA (VIETNAM),MATERIALS,Footwear,Nike,,PRIME ASIA,LOT V 2 MY XUAN A2 INDUSTRIAL ZONE TAN THANH DISTRICT,VungTau,Bà Ra - Vung Tàu,78000,Vietnam,SE ASIA,1428,940,0,0
DAE SUNG METAL CO LTD (CHINA),MATERIALS,Footwear,Nike,,DAE SUNG METAL,No 608 North WenZhou Road Zhou Wu Dong Cheng District,Dong Guan,Guangdong,523118,China,N ASIA,151,64,69,0
SAMBU FINE CHEMICAL CO LTD (KOREA),MATERIALS,Footwear,Nike,,SAMBU FINE CHEMICAL,167 SEOBU RO 1637 BEON GIL,Gyungnam,Gyeongsangnamdo,50888,South Korea,N ASIA,105,50,64,2
EVEREST TEXTILES CHINA,MATERIALS,Apparel,Nike,,EVEREST TEXTILE,197 Baisha Road Xinghuo Development Zone,Shanghai,Shanghai,200000,China,N ASIA,521,312,49,0
COSMO-E-MART NON-WOVEN COMPANY LIMITED,MATERIALS,Footwear,Nike,,COSMOPOLITAN TEXTILE,Road 1 Duc Hoa Ha Industrial Park,Duc Hoa District,Long An,850000,Vietnam,SE ASIA,58,36,31,17
DONGJIN TEXTILE VINA,MATERIALS,Footwear,Nike,,DONGJIN,LOT D8 1 ROAD NO 2,Dong Nai,Ðng Nai,76123,Vietnam,SE ASIA,185,108,11,9
"Chun Yu Ribbon ENT Co., Ltd.",MATERIALS,Apparel,Nike,,CHI YANG RIBBON,"No 557 Sec, 4 Zhangshui Rd, Pitou Township",Changhua,Changhua,523,Taiwan,N ASIA,129,109,83,24
MAS Fabrics (Private) Limited - Matrix,MATERIALS,Footwear,Nike,,MAS HOLDINGS,MAS Fabric park,Warakapola,Kegalla,71610,Sri Lanka,S ASIA,1289,866,60,0
"NINGBO SHENZHOU KNITTING CO., LTD",MATERIALS,Apparel,Nike,Collegiate,SHENZHOU,No 18 Yongjiang Rd,Ningbo,Zhejiang,315800,China,N ASIA,5434,4955,40,0
"Avery Dennison (Suzhou) Co.,Ltd ",MATERIALS,Apparel,Nike,,AVERY DENNISON,No 56 Yangpu Road,Suzhou,Jiangsu,215024,China,N ASIA,815,555,52,0
EVEREST TEXTILES THAILAND-V,MATERIALS,Apparel,Nike,,EVEREST TEXTILE,49 Moo 1 Taladnadwatsoifa Road,Banpong,Ratchaburi,70110,Thailand,SE ASIA,488,275,45,22
JUNMAY LABEL (TAIWAN),MATERIALS,Footwear,Nike,,JUNMAY LABEL,486 Sec 3 Zhongshan Rd Guiren Dist,Tainan,Tainan,71152,Taiwan,N ASIA,76,36,69,28
KURARAY CO LTD (CLARINO) (TR1) (JAPAN),MATERIALS,Footwear,Nike,,KURARAY,1 2 1  Kaigan dori  Minami ku,Osaka,Ôsaka,7028601,Japan,N ASIA,1700,1400,7,0
PT DAH JU INDONESIA,MATERIALS,Footwear,Nike,,DAH SHENG,Dusun Karangturi RT003 RW004 ,Kabupaten Cirebon,Jawa Barat,45191,Indonesia,S ASIA,181,113,87,0
Sun Luen International Corporation,MATERIALS,Footwear,Nike,,TIONG LIONG GROUP,No 22 Gongye Rd,Changhu,Taichung,528,Taiwan,N ASIA,78,47,21,62
PROMAX TEXTILE (VIETNAM) CO. LTD,MATERIALS,Apparel,Nike,,PROMAX TEXTILE,NO 33 6TH ROAD FORMOSA ZONE,Dong Nai,Ðng Nai,76000,Vietnam,SE ASIA,878,802,37,3
YRC TEXTILE,MATERIALS,Apparel,Nike,,YRC TEXTILE,134 Moo 6 Sathakit 1 St Road,Kratoomband,Samut Sakhon,74130,Thailand,SE ASIA,2686,2411,2,13
SIMONA TANNING (ZHONGSHAN) CO. LIMITED,MATERIALS,Footwear,Nike,,SIMONA TANNING,Fu Ze 2nd Street Fu Ze Road,Zhongshan,Guangdong,528445,China,N ASIA,231,130,45,1
